Parameters: min_rule_covered=5.0; induction_measure=LogRankStatistics; pruning_measure=LogRankStatistics; voting_measure=LogRankStatistics; 
Dataset, time started, elapsed[s], time_total_s,time_growing_s,time_pruning_s,#rules,#conditions_per_rule,#induced_conditions_per_rule,avg_rule_coverage,avg_rule_precision,avg_rule_quality,avg_pvalue,avg_FDR_pvalue,avg_FWER_pvalue,fraction_0.05_significant,fraction_0.05_FDR_significant,fraction_0.05_FWER_significant,integrated_brier_score,
bmt-test-0.arff,2019.06.06_09.00.52,0.039288772,2.680299763, 2.2273674320000003, 0.45080735299999997, 14.0, 4.142857142857143, 26.642857142857142, 0.15221088435374147, 1.0, 0.9708364115009198, 0.029163588499080288, 0.030703179494852104, 0.047860649227518814, 0.8571428571428571, 0.8571428571428571, 0.7142857142857143, 0.3022764539611673, 
bmt-test-1.arff,2019.06.06_09.00.52,0.035150006,1.569835587, 1.3247952219999999, 0.243176252, 13.0, 3.3076923076923075, 21.23076923076923, 0.16666666666666669, 1.0, 0.9808429897528489, 0.019157010247151177, 0.019924804730272097, 0.028311260818446354, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.3030665195706845, 
bmt-test-2.arff,2019.06.06_09.00.52,0.033870913,3.479314722, 2.989829703, 0.48726553399999994, 18.0, 4.722222222222222, 23.88888888888889, 0.09788359788359786, 1.0, 0.9350318676498934, 0.06496813235010664, 0.07046662035106592, 0.1467298700015709, 0.7222222222222222, 0.7222222222222222, 0.6111111111111112, 0.1348779351503235, 
bmt-test-3.arff,2019.06.06_09.00.52,0.037046192,3.483861036, 2.986674098, 0.4950572569999999, 17.0, 3.823529411764706, 24.176470588235293, 0.1530112044817927, 1.0, 0.9971970558839909, 0.002802944116009042, 0.0029189190961753392, 0.0042638511847833864, 1.0, 1.0, 1.0, 0.20695323472585794, 
bmt-test-4.arff,2019.06.06_09.00.52,0.041283317,2.46378772, 2.079165131, 0.382911578, 13.0, 4.461538461538462, 25.076923076923077, 0.17994505494505494, 1.0, 0.9851419695703262, 0.01485803042967376, 0.015401202287109207, 0.020694101065945106, 0.9230769230769231, 0.9230769230769231, 0.8461538461538461, 0.17634891221790217, 
bmt-test-5.arff,2019.06.06_09.00.52,0.039246435,2.971626059, 2.3901482140000003, 0.5800499299999999, 11.0, 4.0, 31.272727272727273, 0.24242424242424246, 1.0, 0.9413088291042744, 0.05869117089572556, 0.060659348901889835, 0.07835584810041245, 0.8181818181818182, 0.8181818181818182, 0.8181818181818182, 0.2657510536445144, 
bmt-test-6.arff,2019.06.06_09.00.52,0.025421895,2.072944152, 1.753205856, 0.318029849, 13.0, 4.076923076923077, 23.23076923076923, 0.13736263736263737, 1.0, 0.9876243093763608, 0.012375690623639173, 0.01376004699597456, 0.02629376714286671, 0.9230769230769231, 0.9230769230769231, 0.6153846153846154, 0.3557756756759736, 
bmt-test-7.arff,2019.06.06_09.00.52,0.024435314,0.976753117, 0.8282501800000001, 0.147072888, 9.0, 2.4444444444444446, 18.555555555555557, 0.21301775147928995, 1.0, 0.9997939762297382, 2.0602377026188477E-4, 2.2485290590508664E-4, 3.396493881306917E-4, 1.0, 1.0, 1.0, 0.20166300355148425, 
bmt-test-8.arff,2019.06.06_09.00.52,0.024706014,2.781283437, 2.311914068, 0.46772036000000006, 12.0, 3.8333333333333335, 27.75, 0.1819526627218935, 1.0, 0.978371769845526, 0.021628230154474126, 0.022961842417512406, 0.034977824904465465, 0.8333333333333334, 0.8333333333333334, 0.6666666666666666, 0.1979333812495329, 
bmt-test-9.arff,2019.06.06_09.00.52,0.025525386,1.581411559, 1.322784853, 0.256932797, 12.0, 3.9166666666666665, 22.416666666666668, 0.17899408284023668, 1.0, 0.9975168488335616, 0.0024831511664385186, 0.0025007710484852386, 0.0026610594993196715, 1.0, 1.0, 1.0, 0.20251963542626603, 
